"export-plot data (NetLogo 5.3)"
"73eastingsim.nlogo"
"03/28/2016 14:57:32:786 -0400"

"MODEL SETTINGS"
"m1a1_thermal_sights","m1a1-spacing","coil-t72s","initial-number-m1a1","initial-number-t72","desert-visibility","lead_t72_y_cor","m1a1_turret_stablization","lead_m1a1_y_cor","m1a1_fcs","coil_middle_t72_y_cor","desert_height_in_meters","t72-spacing","lead_m1a1_x_cor","t72-formation","number_of_iterations","t72_thermal_sights","ridgeline_x_cor","m1a1-fcs","desert_length_in_meters","coil_middle_t72_x_cor","extra_lead_t72_x_cor","m1a1_gps","extra-t72s","m1a1-formation","m1a1-upgraded-armor","lead_t72_x_cor","extra_lead_t72_y_cor"
"true","38","false","9","8","50","6","true","0","1","10","10000","10","-20","""Line""","975","true","0","true","10000","35","22","true","false","""Line""","true","20","-8"

"""Number Of Tanks"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","571","0","10","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","105","557"
"""pen-1""","true","0","1","15","557"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","9","105","true","0","8","15","true"
"1","9","105","true","1","8","15","true"
"2","9","105","true","2","8","15","true"
"3","9","105","true","3","8","15","true"
"4","9","105","true","4","8","15","true"
"5","9","105","true","5","8","15","true"
"6","9","105","true","6","8","15","true"
"7","9","105","true","7","8","15","true"
"8","9","105","true","8","8","15","true"
"9","9","105","true","9","8","15","true"
"10","9","105","true","10","8","15","true"
"11","9","105","true","11","8","15","true"
"12","9","105","true","12","8","15","true"
"13","9","105","true","13","8","15","true"
"14","9","105","true","14","8","15","true"
"15","9","105","true","15","8","15","true"
"16","9","105","true","16","8","15","true"
"17","9","105","true","17","8","15","true"
"18","9","105","true","18","8","15","true"
"19","9","105","true","19","8","15","true"
"20","9","105","true","20","8","15","true"
"21","9","105","true","21","8","15","true"
"22","9","105","true","22","8","15","true"
"23","9","105","true","23","8","15","true"
"24","9","105","true","24","8","15","true"
"25","9","105","true","25","8","15","true"
"26","9","105","true","26","8","15","true"
"27","9","105","true","27","8","15","true"
"28","9","105","true","28","8","15","true"
"29","9","105","true","29","8","15","true"
"30","9","105","true","30","8","15","true"
"31","9","105","true","31","8","15","true"
"32","9","105","true","32","8","15","true"
"33","9","105","true","33","8","15","true"
"34","9","105","true","34","8","15","true"
"35","9","105","true","35","8","15","true"
"36","9","105","true","36","8","15","true"
"37","9","105","true","37","8","15","true"
"38","9","105","true","38","8","15","true"
"39","9","105","true","39","8","15","true"
"40","9","105","true","40","8","15","true"
"41","9","105","true","41","8","15","true"
"42","9","105","true","42","8","15","true"
"43","9","105","true","43","8","15","true"
"44","9","105","true","44","8","15","true"
"45","9","105","true","45","8","15","true"
"46","9","105","true","46","8","15","true"
"47","9","105","true","47","8","15","true"
"48","9","105","true","48","8","15","true"
"49","9","105","true","49","8","15","true"
"50","9","105","true","50","8","15","true"
"51","9","105","true","51","8","15","true"
"52","9","105","true","52","8","15","true"
"53","9","105","true","53","8","15","true"
"54","9","105","true","54","8","15","true"
"55","9","105","true","55","8","15","true"
"56","9","105","true","56","8","15","true"
"57","9","105","true","57","8","15","true"
"58","9","105","true","58","8","15","true"
"59","9","105","true","59","8","15","true"
"60","9","105","true","60","8","15","true"
"61","9","105","true","61","8","15","true"
"62","9","105","true","62","8","15","true"
"63","9","105","true","63","8","15","true"
"64","9","105","true","64","8","15","true"
"65","9","105","true","65","8","15","true"
"66","9","105","true","66","8","15","true"
"67","9","105","true","67","8","15","true"
"68","9","105","true","68","8","15","true"
"69","9","105","true","69","8","15","true"
"70","9","105","true","70","8","15","true"
"71","9","105","true","71","8","15","true"
"72","9","105","true","72","8","15","true"
"73","9","105","true","73","8","15","true"
"74","9","105","true","74","8","15","true"
"75","9","105","true","75","8","15","true"
"76","9","105","true","76","8","15","true"
"77","9","105","true","77","8","15","true"
"78","9","105","true","78","8","15","true"
"79","9","105","true","79","8","15","true"
"80","9","105","true","80","8","15","true"
"81","9","105","true","81","8","15","true"
"82","9","105","true","82","8","15","true"
"83","9","105","true","83","8","15","true"
"84","9","105","true","84","8","15","true"
"85","9","105","true","85","8","15","true"
"86","9","105","true","86","8","15","true"
"87","9","105","true","87","8","15","true"
"88","9","105","true","88","8","15","true"
"89","9","105","true","89","8","15","true"
"90","9","105","true","90","8","15","true"
"91","9","105","true","91","8","15","true"
"92","9","105","true","92","8","15","true"
"93","9","105","true","93","8","15","true"
"94","9","105","true","94","8","15","true"
"95","9","105","true","95","8","15","true"
"96","9","105","true","96","8","15","true"
"97","9","105","true","97","8","15","true"
"98","9","105","true","98","8","15","true"
"99","9","105","true","99","8","15","true"
"100","9","105","true","100","8","15","true"
"101","9","105","true","101","8","15","true"
"102","9","105","true","102","8","15","true"
"103","9","105","true","103","8","15","true"
"104","9","105","true","104","8","15","true"
"105","9","105","true","105","8","15","true"
"106","9","105","true","106","8","15","true"
"107","9","105","true","107","8","15","true"
"108","9","105","true","108","8","15","true"
"109","9","105","true","109","8","15","true"
"110","9","105","true","110","8","15","true"
"111","9","105","true","111","8","15","true"
"112","9","105","true","112","8","15","true"
"113","9","105","true","113","8","15","true"
"114","9","105","true","114","8","15","true"
"115","9","105","true","115","8","15","true"
"116","9","105","true","116","8","15","true"
"117","9","105","true","117","8","15","true"
"118","9","105","true","118","8","15","true"
"119","9","105","true","119","8","15","true"
"120","9","105","true","120","8","15","true"
"121","9","105","true","121","8","15","true"
"122","9","105","true","122","8","15","true"
"123","9","105","true","123","8","15","true"
"124","9","105","true","124","8","15","true"
"125","9","105","true","125","8","15","true"
"126","9","105","true","126","8","15","true"
"127","9","105","true","127","8","15","true"
"128","9","105","true","128","8","15","true"
"129","9","105","true","129","8","15","true"
"130","9","105","true","130","8","15","true"
"131","9","105","true","131","8","15","true"
"132","9","105","true","132","8","15","true"
"133","9","105","true","133","8","15","true"
"134","9","105","true","134","8","15","true"
"135","9","105","true","135","8","15","true"
"136","9","105","true","136","8","15","true"
"137","9","105","true","137","8","15","true"
"138","9","105","true","138","8","15","true"
"139","9","105","true","139","8","15","true"
"140","9","105","true","140","8","15","true"
"141","9","105","true","141","8","15","true"
"142","9","105","true","142","8","15","true"
"143","9","105","true","143","8","15","true"
"144","9","105","true","144","8","15","true"
"145","9","105","true","145","8","15","true"
"146","9","105","true","146","8","15","true"
"147","9","105","true","147","8","15","true"
"148","9","105","true","148","8","15","true"
"149","9","105","true","149","8","15","true"
"150","9","105","true","150","8","15","true"
"151","9","105","true","151","8","15","true"
"152","9","105","true","152","8","15","true"
"153","9","105","true","153","8","15","true"
"154","9","105","true","154","8","15","true"
"155","9","105","true","155","8","15","true"
"156","9","105","true","156","8","15","true"
"157","9","105","true","157","8","15","true"
"158","9","105","true","158","8","15","true"
"159","9","105","true","159","8","15","true"
"160","9","105","true","160","8","15","true"
"161","9","105","true","161","8","15","true"
"162","9","105","true","162","8","15","true"
"163","9","105","true","163","8","15","true"
"164","9","105","true","164","8","15","true"
"165","9","105","true","165","8","15","true"
"166","9","105","true","166","8","15","true"
"167","9","105","true","167","8","15","true"
"168","9","105","true","168","8","15","true"
"169","9","105","true","169","8","15","true"
"170","9","105","true","170","8","15","true"
"171","9","105","true","171","8","15","true"
"172","9","105","true","172","8","15","true"
"173","9","105","true","173","8","15","true"
"174","9","105","true","174","8","15","true"
"175","9","105","true","175","8","15","true"
"176","9","105","true","176","8","15","true"
"177","9","105","true","177","8","15","true"
"178","9","105","true","178","8","15","true"
"179","9","105","true","179","8","15","true"
"180","9","105","true","180","8","15","true"
"181","9","105","true","181","8","15","true"
"182","9","105","true","182","8","15","true"
"183","9","105","true","183","8","15","true"
"184","9","105","true","184","8","15","true"
"185","9","105","true","185","8","15","true"
"186","9","105","true","186","8","15","true"
"187","9","105","true","187","8","15","true"
"188","9","105","true","188","8","15","true"
"189","9","105","true","189","8","15","true"
"190","9","105","true","190","8","15","true"
"191","9","105","true","191","8","15","true"
"192","9","105","true","192","8","15","true"
"193","9","105","true","193","8","15","true"
"194","9","105","true","194","8","15","true"
"195","9","105","true","195","8","15","true"
"196","9","105","true","196","8","15","true"
"197","9","105","true","197","8","15","true"
"198","9","105","true","198","8","15","true"
"199","9","105","true","199","8","15","true"
"200","9","105","true","200","8","15","true"
"201","9","105","true","201","8","15","true"
"202","9","105","true","202","8","15","true"
"203","9","105","true","203","8","15","true"
"204","9","105","true","204","8","15","true"
"205","9","105","true","205","8","15","true"
"206","9","105","true","206","8","15","true"
"207","9","105","true","207","8","15","true"
"208","9","105","true","208","8","15","true"
"209","9","105","true","209","8","15","true"
"210","9","105","true","210","8","15","true"
"211","9","105","true","211","8","15","true"
"212","9","105","true","212","8","15","true"
"213","9","105","true","213","8","15","true"
"214","9","105","true","214","8","15","true"
"215","9","105","true","215","8","15","true"
"216","9","105","true","216","8","15","true"
"217","9","105","true","217","8","15","true"
